Date,Veg,Pettah_wholesale,Dambulla_wholesale,140,Dambulla_retail,,,,,,,,
4/17/2019,Tomatoes,100,n.a.,135,n.a.,,,,,,,,
4/17/2019,Brinjal,70,n.a.,100,n.a.,,,,,,,,
4/18/2019,Beans,160,115,190,135,,,,,,,,
4/18/2019,Carrot,80,75,120,95,,,,,,,,
4/18/2019,Cabbage,60,60,100,63,,,,,,,,
4/18/2019,Tomatoes,50,33,80,53,,,,,,,,
4/18/2019,Brinjal,60,23,100,43,,,,,,,,
4/22/2019,Beans,n.a.,155,n.a.,175,,,,,,,,
4/22/2019,Carrot,n.a.,83,n.a.,103,,,,,,,,
4/22/2019,Cabbage,n.a.,33,n.a.,53,,,,,,,,
4/22/2019,Tomatoes,n.a.,33,n.a.,53,,,,,,,,
4/22/2019,Brinjal,n.a.,15,n.a.,35,,,,,,,,
4/23/2019,Beans,280,155,340,175,,,,,,,,
4/23/2019,Carrot,90,75,120,95,,,,,,,,
4/23/2019,Cabbage,40,28,75,48,,,,,,,,
4/23/2019,Tomatoes,70,25,100,45,,,,,,,,
4/23/2019,Brinjal,30,13,65,33,,,,,,,,
4/24/2019,Beans,270,205,317,225,,,,,,,,
4/24/2019,Carrot,105,73,130,93,,,,,,,,
4/24/2019,Cabbage,50,33,83,53,,,,,,,,
4/24/2019,Tomatoes,85,43,120,63,,,,,,,,
4/24/2019,Brinjal,50,18,85,38,,,,,,,,
4/25/2019,Beans,260,175,300,195,,,,,,,,
4/25/2019,Carrot,110,103,130,123,,,,,,,,
4/25/2019,Cabbage,50,35,100,55,,,,,,,,
4/25/2019,Tomatoes,60,45,100,65,,,,,,,,
4/25/2019,Brinjal,35,45,80,65,,,,,,,,
4/26/2019,Beans,260,165,300,185,,,,,,,,
4/26/2019,Carrot,80,75,120,95,,,,,,,,
4/26/2019,Cabbage,50,28,95,48,,,,,,,,
4/26/2019,Tomatoes,60,45,100,65,,,,,,,,
4/26/2019,Brinjal,35,28,80,48,,,,,,,,
4/29/2019,Beans,260,245,320,265,,,,,,,,
4/29/2019,Carrot,100,45,120,65,,,,,,,,
4/29/2019,Cabbage,50,18,95,38,,,,,,,,
4/29/2019,Tomatoes,80,45,120,65,,,,,,,,
4/29/2019,Brinjal,33,13,75,33,,,,,,,,
4/30/2019,Beans,240,243,290,263,,,,,,,,
4/30/2019,Carrot,80,80,110,98,,,,,,,,
4/30/2019,Cabbage,45,33,75,53,,,,,,,,
4/30/2019,Tomatoes,75,55,100,79,,,,,,,,
4/30/2019,Brinjal,33,15,75,35,,,,,,,,
2-May-19,Beans,210,245,250,265,,,,,,,,
2-May-19,Carrot,80,58,110,78,,,,,,,,
2-May-19,Cabbage,45,38,75,58,,,,,,,,
2-May-19,Tomatoes,75,68,100,88,,,,,,,,
2-May-19,Brinjal,33,13,75,33,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,, ,,,,,
